day,status,provider,positions
2023-02-16,empty,archive,0
2023-02-17,empty,archive,0
2023-02-18,empty,archive,0
2023-02-19,empty,archive,0
2023-02-20,empty,archive,0
2023-02-21,empty,archive,0
2023-02-22,empty,archive,0
2023-02-23,empty,archive,0
2023-02-24,empty,archive,0
2023-02-25,empty,archive,0
2023-02-26,empty,archive,0
2023-02-27,empty,archive,0
2023-02-28,empty,archive,0
2023-03-01,empty,archive,0
2023-03-02,empty,archive,0
2023-03-03,empty,archive,0
2023-03-04,empty,archive,0
2023-03-05,empty,archive,0
2023-03-06,empty,archive,0
2023-03-07,empty,archive,0
2023-03-08,empty,archive,0
2023-03-09,empty,archive,0
2023-03-10,empty,archive,0
2023-03-11,empty,archive,0
2023-03-12,empty,archive,0
2023-03-13,empty,archive,0
2023-03-14,empty,archive,0
2023-03-15,empty,archive,0
2023-03-16,empty,archive,0
2023-03-17,empty,archive,0
2023-03-18,empty,archive,0
2023-03-19,empty,archive,0
2023-03-20,empty,archive,0
2023-03-21,empty,archive,0
2023-03-22,empty,archive,0
2023-03-23,empty,archive,0
2023-03-24,empty,archive,0
2023-03-25,empty,archive,0
2023-03-26,empty,archive,0
2023-03-27,empty,archive,0
2023-03-28,empty,archive,0
2023-03-29,empty,archive,0
2023-03-30,completed,archive,140
2023-03-31,empty,archive,0
2023-04-01,empty,archive,0
2023-04-02,empty,archive,0
2023-04-03,empty,archive,0
2023-04-04,empty,archive,0
2023-04-05,empty,archive,0
2023-04-06,empty,archive,0
2023-04-07,empty,archive,0
2023-04-08,empty,archive,0
2023-04-09,empty,archive,0
2023-04-10,empty,archive,0
2023-04-11,empty,archive,0
2023-04-12,empty,archive,0
2023-04-13,empty,archive,0
2023-04-14,empty,archive,0
2023-04-15,empty,archive,0
2023-04-16,empty,archive,0
2023-04-17,empty,archive,0
2023-04-18,empty,archive,0
2023-04-19,empty,archive,0
2023-04-20,empty,archive,0
2023-04-21,completed,archive,496
2023-04-22,empty,archive,0
2023-04-23,empty,archive,0
2023-04-24,completed,archive,50
2023-04-25,completed,archive,43
2023-04-26,empty,archive,0
2023-04-27,empty,archive,0
2023-04-28,empty,archive,0
2023-04-29,empty,archive,0
2023-04-30,empty,archive,0
2023-05-01,empty,archive,0
2023-05-02,empty,archive,0
2023-05-03,empty,archive,0
2023-05-04,empty,archive,0
2023-05-05,empty,archive,0
2023-05-06,empty,archive,0
2023-05-07,empty,archive,0
2023-05-08,empty,archive,0
2023-05-09,completed,archive,161
2023-05-10,completed,archive,32
2023-05-11,empty,archive,0
2023-05-12,empty,archive,0
2023-05-13,empty,archive,0
2023-05-14,empty,archive,0
2023-05-15,empty,archive,0
2023-05-16,empty,archive,0
2023-05-17,empty,archive,0
2023-05-18,empty,archive,0
2023-05-19,completed,archive,93
2023-05-20,empty,archive,0
2023-05-21,empty,archive,0
2023-05-22,completed,archive,367
2023-05-23,completed,archive,373
2023-05-24,completed,archive,35
2023-05-25,empty,archive,0
2023-05-26,empty,archive,0
2023-05-27,empty,archive,0
2023-05-28,empty,archive,0
2023-05-29,completed,archive,4
2023-05-30,empty,archive,0
2023-05-31,empty,archive,0
2023-06-01,empty,archive,0
2023-06-02,completed,archive,164
2023-06-03,empty,archive,0
2023-06-04,empty,archive,0
2023-06-05,empty,archive,0
2023-06-06,empty,archive,0
2023-06-07,empty,archive,0
2023-06-08,empty,archive,0
2023-06-09,empty,archive,0
2023-06-10,empty,archive,0
2023-06-11,empty,archive,0
2023-06-12,empty,archive,0
2023-06-13,empty,archive,0
2023-06-14,completed,archive,409
2023-06-15,empty,archive,0
2023-06-16,completed,archive,492
2023-06-17,empty,archive,0
2023-06-18,empty,archive,0
2023-06-19,empty,archive,0
2023-06-20,empty,archive,0
2023-06-21,empty,archive,0
2023-06-22,empty,archive,0
2023-06-23,empty,archive,0
2023-06-24,empty,archive,0
2023-06-25,completed,archive,436
2023-06-26,empty,archive,0
2023-06-27,completed,archive,690
2023-06-28,empty,archive,0
2023-06-29,empty,archive,0
2023-06-30,empty,archive,0
2023-07-01,empty,archive,0
2023-07-02,empty,archive,0
2023-07-03,empty,archive,0
2023-07-04,empty,archive,0
2023-07-05,empty,archive,0
2023-07-06,empty,archive,0
2023-07-07,empty,archive,0
2023-07-08,empty,archive,0
2023-07-09,empty,archive,0
2023-07-10,empty,archive,0
2023-07-11,empty,archive,0
2023-07-12,empty,archive,0
2023-07-13,empty,archive,0
2023-07-14,empty,archive,0
2023-07-15,empty,archive,0
2023-07-16,empty,archive,0
2023-07-17,empty,archive,0
2023-07-18,empty,archive,0
2023-07-19,empty,archive,0
2023-07-20,empty,archive,0
2023-07-21,empty,archive,0
2023-07-22,empty,archive,0
2023-07-23,empty,archive,0
2023-07-24,empty,archive,0
2023-07-25,empty,archive,0
2023-07-26,empty,archive,0
2023-07-27,empty,archive,0
2023-07-28,empty,archive,0
2023-07-29,empty,archive,0
2023-07-30,empty,archive,0
2023-07-31,empty,archive,0
2023-08-01,empty,archive,0
2023-08-02,empty,archive,0
2023-08-03,empty,archive,0
2023-08-04,empty,archive,0
2023-08-05,empty,archive,0
2023-08-06,empty,archive,0
2023-08-07,empty,archive,0
2023-08-08,empty,archive,0
2023-08-09,empty,archive,0
2023-08-10,empty,archive,0
2023-08-11,empty,archive,0
2023-08-12,empty,archive,0
2023-08-13,empty,archive,0
2023-08-14,empty,archive,0
2023-08-15,empty,archive,0
2023-08-16,empty,archive,0
2023-08-17,empty,archive,0
2023-08-18,empty,archive,0
2023-08-19,empty,archive,0
2023-08-20,empty,archive,0
2023-08-21,empty,archive,0
2023-08-22,empty,archive,0
2023-08-23,empty,archive,0
2023-08-24,empty,archive,0
2023-08-25,empty,archive,0
2023-08-26,empty,archive,0
2023-08-27,empty,archive,0
2023-08-28,empty,archive,0
2023-08-29,empty,archive,0
2023-08-30,empty,archive,0
2023-08-31,empty,archive,0
2023-09-01,empty,archive,0
2023-09-02,empty,archive,0
2023-09-03,empty,archive,0
2023-09-04,empty,archive,0
2023-09-05,empty,archive,0
2023-09-06,empty,archive,0
2023-09-07,empty,archive,0
2023-09-08,empty,archive,0
2023-09-09,empty,archive,0
2023-09-10,empty,archive,0
2023-09-11,empty,archive,0
2023-09-12,empty,archive,0
2023-09-13,empty,archive,0
2023-09-14,empty,archive,0
2023-09-15,empty,archive,0
2023-09-16,empty,archive,0
2023-09-17,empty,archive,0
2023-09-18,empty,archive,0
2023-09-19,empty,archive,0
2023-09-20,empty,archive,0
2023-09-21,empty,archive,0
2023-09-22,empty,archive,0
2023-09-23,empty,archive,0
2023-09-24,empty,archive,0
2023-09-25,empty,archive,0
2023-09-26,empty,archive,0
2023-09-27,empty,archive,0
2023-09-28,empty,archive,0
2023-09-29,empty,archive,0
2023-09-30,empty,archive,0
2023-10-01,empty,archive,0
2023-10-02,empty,archive,0
2023-10-03,empty,archive,0
2023-10-04,empty,archive,0
2023-10-05,empty,archive,0
2023-10-06,empty,archive,0
2023-10-07,empty,archive,0
2023-10-08,empty,archive,0
2023-10-09,empty,archive,0
2023-10-10,empty,archive,0
2023-10-11,empty,archive,0
2023-10-12,empty,archive,0
2023-10-13,empty,archive,0
2023-10-14,empty,archive,0
2023-10-15,empty,archive,0
2023-10-16,empty,archive,0
2023-10-17,empty,archive,0
2023-10-18,empty,archive,0
2023-10-19,empty,archive,0
2023-10-20,empty,archive,0
2023-10-21,empty,archive,0
2023-10-22,empty,archive,0
2023-10-23,empty,archive,0
2023-10-24,empty,archive,0
2023-10-25,empty,archive,0
2023-10-26,empty,archive,0
2023-10-27,completed,archive,261
2023-10-28,empty,archive,0
2023-10-29,empty,archive,0
2023-10-30,empty,archive,0
2023-10-31,empty,archive,0
2023-11-01,empty,archive,0
2023-11-02,empty,archive,0
2023-11-03,empty,archive,0
2023-11-04,empty,archive,0
2023-11-05,empty,archive,0
2023-11-06,completed,archive,401
2023-11-07,empty,archive,0
2023-11-08,completed,archive,584
2023-11-09,completed,archive,531
2023-11-10,empty,archive,0
2023-11-11,empty,archive,0
2023-11-12,empty,archive,0
2023-11-13,empty,archive,0
2023-11-14,empty,archive,0
2023-11-15,empty,archive,0
2023-11-16,empty,archive,0
2023-11-17,empty,archive,0
2023-11-18,empty,archive,0
2023-11-19,empty,archive,0
2023-11-20,empty,archive,0
2023-11-21,completed,archive,156
2023-11-22,empty,archive,0
2023-11-23,empty,archive,0
2023-11-24,empty,archive,0
2023-11-25,empty,archive,0
2023-11-26,empty,archive,0
2023-11-27,empty,archive,0
2023-11-28,empty,archive,0
2023-11-29,completed,archive,558
2023-11-30,completed,archive,543
2023-12-01,completed,archive,1134
2023-12-02,empty,archive,0
2023-12-03,empty,archive,0
2023-12-04,completed,archive,596
2023-12-05,completed,archive,522
2023-12-06,empty,archive,0
2023-12-07,completed,archive,1147
2023-12-08,empty,archive,0
2023-12-09,empty,archive,0
